Name,Player ID,Position,Age,Rookie,Height (cm),Potential,Potential %,Game Shape,Jump Shot,Jump Range,Outside Def,Handling,Driving,Passing,Inside Shot,Inside Def,Rebounding,Shot Blocking,Stamina,Free Throw,Experience,Skill Points Total,Skill Points Off,Skill Points Def,Eval PG,Eval SG,Eval SF,Eval PF,Eval C,Weekly Salary,Salary Secondary,Starting Price,Owner Team,Source League,Pulled Date
Viktor Steinmetz,53540110,PG,26,No,193,hall of famer,,7,16,7,17,17,18,12,18,14,8,5,4,22,8,132,87,45,,,,,,67268,,5000000,Blue Kings BC,III.15,2026-09-11
Kamil Krejčí,53846202,PG,26,No,198,hall of famer,,,15,6,18,17,18,12,5,11,10,8,7,16,8,120,86,34,,,,,,66529,,1100000,Panthessalonikios,III.15,2026-09-11
Trea Vedder,52997020,PF,28,No,201,superstar,100,,17,10,11,18,21,9,17,11,10,8,4,16,11,132,86,46,,,,,,66217,62421,1000000,Matcha Sippin' Bandits,III.15,2026-09-11
Kaan Perver,53041615,PG,28,No,188,superstar,100,7,16,14,16,14,16,14,5,10,6,6,4,8,9,117,90,27,13.38,13.48,11.13,9.11,8.24,66060,76796,700000,Yoncalar,III.15,2026-09-11
Bernardo Dantas,53801274,PG,26,No,213,hall of famer,100,,12,7,13,18,19,14,15,9,11,9,7,16,5,127,83,44,,,,,,65923,74740,1200000,ETRL BC,III.15,2026-09-11
Claass Schwindack,53062237,PG,27,No,188,MVP,100,5,18,16,14,16,17,13,7,3,5,3,9,9,11,112,94,18,13.07,13.16,10.19,7.82,6.63,65359,75703,,blondiniai,III.15,2026-09-11
Yau Ming Yuet,53531719,PG,27,No,185,MVP,,,14,10,16,16,15,14,10,11,9,2,2,11,7,117,85,32,,,,,,65137,,1900000,"A.D. ""Os Limianos""",III.15,2026-09-11
Manuel Sánchez,54950016,C,21,No,213,MVP,,,6,8,5,8,10,5,15,17,13,14,2,7,3,101,42,59,,,,,,64858,,2000000,CB Unstoppables,III.15,2026-09-11
Francisco Javier Borreguero,54026125,SF,25,No,190,hall of famer,,,16,12,15,17,15,8,17,14,6,9,4,22,6,129,83,46,,,,,,64283,,1048200,Free Agent,III.15,2026-09-11
Àlex Pla,53600035,C,27,No,211,superstar,,,8,5,11,6,6,10,6,17,16,16,4,13,10,101,46,55,,,,,,63781,,1200000,The Wall,III.15,2026-09-11
Vytautas Maldys,53810456,PF,26,No,208,hall of famer,,,15,12,10,11,15,7,17,14,8,10,6,11,6,119,70,49,,,,,,63366,,2450000,Somaracci,III.15,2026-09-11
Bieito Pascual Díez,54642909,SG,23,No,183,MVP,,,17,11,16,19,18,8,10,7,9,7,9,18,5,122,89,33,,,,,,62628,,1000000,Olimpia Xamax74,III.15,2026-09-11
Guillermo De Lope,53253640,SG,27,No,183,MVP,,9,16,20,11,18,18,9,10,5,6,4,4,14,8,117,92,25,,,,,,62370,,799999,Kikol Team,III.15,2026-09-11
Saúl Ferreira,53134510,PG,28,No,193,hall of famer,,,15,9,17,19,19,10,11,11,6,5,2,10,8,122,89,33,,,,,,61740,,1069777,ZELENOGRAD BULLS,III.15,2026-09-11
Cris Pierre,54593724,SF,23,No,193,hall of famer,,,15,9,12,9,10,9,13,12,14,7,8,12,4,110,64,46,,,,,,60717,,1500000,BC_Lituanica,III.15,2026-09-11
Takayuki Mizofuchi,54852545,PF,23,No,208,hall of famer,100,8,16,6,11,17,21,11,20,11,7,10,5,11,5,130,82,48,11.36,11.35,12.29,13.05,13.04,60669,63189,3090000,The Return,III.15,2026-09-11
Kailashnath Fozdar,53787305,SF,25,No,206,hall of famer,,,16,10,14,17,18,6,14,16,7,9,5,18,8,127,81,46,,,,,,60629,,1100000,Labregos BC,III.15,2026-09-11
May Nurkholiq,53188749,C,28,No,201,perennial allstar,,9,10,9,4,7,12,10,13,14,15,11,9,11,12,105,52,53,,,,,,60395,,2000000,Özgür Basket,III.15,2026-09-11
Petras Gužaitis,54427628,SG,24,No,198,MVP,,7,13,13,18,13,15,13,9,10,10,3,4,5,5,117,85,32,,,,,,59854,,2355644,Club Basket Bon Pastor,III.15,2026-09-11
Lin Hengyang,53692744,C,25,No,208,MVP,,8,1,7,17,10,5,10,7,21,10,21,5,7,8,109,50,59,,,,,,59619,,3500000,狂奔的羊驼,III.15,2026-09-11
Saúl Jorge,52496051,PG,29,No,206,MVP,,,10,7,16,14,16,13,12,12,9,12,7,21,12,121,76,45,,,,,,59070,,1150000,Ghepardi,III.15,2026-09-11
Arkady Pustovoy,51094324,SF,34,No,190,MVP,,7,19,15,13,13,14,10,8,10,3,4,4,6,11,109,84,25,,,,,,58969,,446777,Zelbasket,III.15,2026-09-11
Enrico Peren,53409710,SF,27,No,201,MVP,,,15,13,13,14,16,11,13,10,11,10,6,17,8,126,82,44,,,,,,58052,,1300000,TeXans99,III.15,2026-09-11
Gherardo Frisone,53734327,PF,25,No,196,hall of famer,100,7,17,7,10,20,22,7,23,10,7,5,5,15,7,128,83,45,10.63,10.69,12.04,13.49,13.7,57308,67007,4125000,Sbarbati,III.15,2026-09-11
Dinko Mohorovičić,52467251,PG,29,No,206,hall of famer,,,13,10,17,20,19,8,10,10,10,7,8,7,10,124,87,37,,,,,,57205,,1200000,Ghepardi,III.15,2026-09-11
Kostas Chasiotis,54535383,PF,24,No,211,hall of famer,,9,10,9,8,16,17,10,14,13,16,10,9,4,7,123,70,53,,,,,,57085,66820,2500000,Jakarta Warriors II,III.15,2026-09-11
Anthony Noury,54990213,SF,22,No,193,hall of famer,100,7,19,11,9,10,16,10,13,10,10,4,4,7,4,112,75,37,10.44,10.82,10.96,10.97,10.97,57057,64648,2000000,ΑΟΚ ΛΑΡΙΣΑΣ,III.15,2026-09-11
Andy Tichon,54102645,PG,24,No,188,hall of famer,,,15,8,19,20,20,7,11,10,8,3,6,9,7,121,89,32,,,,,,56516,,1300600,Polonia Przemysl,III.15,2026-09-11
Stefans Širons,54172460,PG,25,No,185,MVP,,,13,13,16,15,15,12,3,8,7,10,6,19,7,112,84,28,,,,,,55643,,1000000,Athletic Alkala Basket,III.15,2026-09-11
Garis Samavicius,51527627,SF,33,No,196,MVP,100,8,17,15,10,19,20,8,14,7,8,9,3,16,14,127,89,38,11.62,11.69,11.15,11.03,10.68,55595,49568,,Hay-den,III.15,2026-09-11
Christian Daniel Alterio,54917309,C,22,No,203,superstar,100,,9,10,4,12,13,8,15,16,10,11,5,4,4,108,56,52,,,,,,55260,55166,1300000,Muguiwaras,III.15,2026-09-11
Joezen Litton,53206599,PG,27,No,196,MVP,,,16,11,16,17,19,9,16,12,5,8,2,11,8,129,88,41,,,,,,54595,,1649777,ZELENOGRAD BULLS,III.15,2026-09-11
Dougal Bryce,53258880,C,27,No,201,hall of famer,100,,9,4,5,10,9,7,11,14,15,12,5,17,9,96,44,52,,,,,,53781,50545,1000000,Venezia Dragons,III.15,2026-09-11
Daniel Dobrogeanu,54512765,SF,24,No,190,hall of famer,,,16,9,13,16,14,6,14,9,13,3,5,11,4,113,74,39,,,,,,53534,,1475000,BC_Lituanica,III.15,2026-09-11
Gaudenzio Bachiorri,53076049,PG,27,No,183,hall of famer,,,17,10,18,20,20,8,18,7,2,1,1,16,9,121,93,28,,,,,,53078,,1500000,Shohoku II,III.15,2026-09-11
Vincent Swafford,53338907,SG,27,No,185,perennial allstar,,7,16,17,11,14,14,8,2,4,10,7,4,9,7,103,80,23,,,,,,52793,,500000,Tuna Tigers,III.15,2026-09-11
Derman Alabas,54638532,PG,23,No,185,MVP,,,17,13,17,16,17,12,10,5,5,4,4,4,4,116,92,24,,,,,,51955,,1250000,All-Starters,III.15,2026-09-11
Peter Owens,53339075,SF,26,No,198,perennial allstar,100,9,23,9,7,25,26,8,9,8,4,7,3,3,7,126,98,28,10.91,10.7,9.94,9.47,8.75,51896,51986,1000000,3nD rockets,III.15,2026-09-11
Christophe Andrieux,54061914,PF,25,No,203,perennial allstar,,,13,11,8,16,17,4,15,12,12,10,9,12,6,118,69,49,,,,,,51579,,1200000,Die Überspitzen 1910,III.15,2026-09-11
Edmundas Žemkauskas,54120677,SF,24,No,188,MVP,,,19,9,18,21,22,5,3,8,8,6,4,5,5,119,94,25,,,,,,51030,,1000000,Crazy clop,III.15,2026-09-11
Pan Kaiyu,54622668,PF,23,No,203,hall of famer,100,8,11,10,8,3,10,8,15,17,10,11,4,13,3,103,50,53,8.17,8.73,10.68,12.22,13.08,50794,66562,1000000,利拉德利拉德,III.15,2026-09-11
Julien Gloaguen,52422645,SG,29,No,183,superstar,100,5,18,12,17,19,20,7,11,6,2,2,9,16,10,114,93,21,11.96,12.4,10.14,8.84,7.96,50429,53111,1000000,SSG Ulm 99,III.15,2026-09-11
Xilberto Devesa,54642267,PG,22,No,203,hall of famer,,,14,5,15,18,19,12,11,10,6,7,5,7,5,117,83,34,,,,,,50167,,1099999,CB Underdogs,III.15,2026-09-11
Vlado Matulja,54139495,PG,24,No,201,hall of famer,,7,12,5,20,17,18,10,11,11,8,8,2,6,5,120,82,38,,,,,,48093,,2000000,Milwaukee Sucks,III.15,2026-09-11
Murat Necil,54328885,PG,24,No,208,hall of famer,,,16,4,15,20,23,10,14,10,7,5,4,6,6,124,88,36,,,,,,48025,,2123456,Kaşıkadası Zombileri,III.15,2026-09-11
Mohammad Amir Elmamouz,54511565,SG,23,No,185,MVP,,9,19,14,14,16,17,7,8,4,5,5,5,5,6,109,87,22,,,,,,47866,,750000,Yellow Falcons,III.15,2026-09-11
Laurent McAuliffe,54852454,C,22,No,218,all-time great,,,8,4,2,10,11,3,10,14,19,9,4,11,5,90,38,52,,,,,,47551,,1023548,Pähklid,III.15,2026-09-11
Sidy Diouf,54234515,C,24,No,206,superstar,,,6,5,11,7,4,8,5,20,12,18,4,5,5,96,41,55,,,,,,46871,,1800000,Kapliadančiai,III.15,2026-09-11
Jonatan Amorós,55162609,C,22,No,216,hall of famer,,4,5,8,2,2,9,9,4,16,16,20,1,4,5,91,35,56,,,,,,45563,46933,2000000,Shadyside BC,III.15,2026-09-11
Sit Tak Shing,53692093,PF,26,No,198,hall of famer,,8,13,4,19,14,13,12,16,14,7,10,4,10,7,122,75,47,,,,,,45199,,2880000,MX.冰雪龙卷风,III.15,2026-09-11
Dasakorn Sudsiri,53919275,PG,26,No,193,perennial allstar,,,16,13,15,17,18,10,9,5,3,9,9,18,9,115,89,26,,,,,,44853,,1000000,VF-81,III.15,2026-09-11
Orlando Colomeda,54183920,PG,24,No,206,hall of famer,,7,12,7,20,19,19,7,12,10,7,6,4,9,6,119,84,35,,,,,,43128,,2000000,Milwaukee Sucks,III.15,2026-09-11
Mojsie Eminovski,50891003,PG,35,No,190,hall of famer,100,9,19,14,9,14,17,13,3,3,6,1,9,16,16,99,86,13,11.4,11.3,8.77,6.49,5.39,42900,45775,40000,Brandenburg Eagles,III.15,2026-09-11
Guillermo Sáenz Ribas,53047071,PG,27,No,185,hall of famer,100,8,14,15,14,17,19,10,7,6,5,3,3,13,8,110,89,21,12.1,12.08,9.85,8.33,7.5,42448,49565,,conquers,III.15,2026-09-11
Jorge Esparza,54331552,C,23,No,211,hall of famer,,,6,3,2,3,7,5,14,14,14,10,4,15,5,78,26,52,,,,,,41043,,1000000,Athletic Alkala Basket,III.15,2026-09-11
Roy Comer,52217453,SG,30,No,183,superstar,,8,18,18,7,15,17,8,11,4,6,4,4,6,10,108,83,25,,,,,,40773,,150000,C.S.D. Flandria,III.15,2026-09-11
Riku Kautia,55140944,C,22,No,198,MVP,,,8,7,11,8,5,7,5,17,13,20,3,10,4,101,46,55,,,,,,40593,,1500000,The vilEliminators,III.15,2026-09-11
An Chuanrong,54538235,C,23,No,203,perennial allstar,,,3,5,10,8,9,11,5,15,14,18,5,1,5,98,46,52,,,,,,37370,,1500000,DavidSKS,III.15,2026-09-11
Francisco Javier Bennet,52830148,SF,28,No,188,perennial allstar,100,5,19,15,8,15,15,8,9,5,6,5,8,11,9,105,80,25,10.22,10.48,9.19,8.3,7.75,36399,43705,,Free Agent,III.15,2026-09-11
Brillantino Abegoa,54331214,PG,23,No,193,hall of famer,,8,15,9,18,17,19,8,15,7,5,8,6,14,5,121,86,35,,,,,,36287,,2120000,rinoilbagnino,III.15,2026-09-11
Quinn Mak,53457520,PG,27,No,196,superstar,100,9,15,15,12,13,17,12,8,10,2,8,6,3,8,112,84,28,11.34,11.53,9.9,8.72,8.09,35448,37686,1000000,Porcinos,III.15,2026-09-11
Jiří Svárovský,54776201,C,23,No,203,superstar,100,,3,4,8,12,12,17,8,16,11,17,6,12,4,108,56,52,,,,,,35238,36563,1800000,Szolnok Pelicans,III.15,2026-09-11
Janusz Folkierski,49645634,SG,37,No,196,MVP,100,8,15,18,9,10,14,9,5,7,4,3,5,5,18,94,75,19,9.77,10.08,8.26,7.02,6.5,34145,33225,,Skawinka,III.15,2026-09-11
Emmanouil Alexoudis,54079176,SG,25,No,190,MVP,100,,13,11,14,16,16,7,12,5,7,10,9,18,5,111,77,34,,,,,,34085,27101,1750000,Obsessions,III.15,2026-09-11
Tomé Teixeira Pinto,54419063,PG,24,No,201,MVP,,8,13,10,12,15,16,13,7,6,7,10,8,11,5,109,79,30,,,,,,33878,,2000000,"A.D. ""Os Limianos""",III.15,2026-09-11
Christian Parrales,51003278,SF,34,No,188,star,,8,17,15,8,6,10,5,7,7,6,6,9,17,15,87,61,26,,,,,,33756,,50000,Eina sau,III.15,2026-09-11
Petar Mihajlović,53509045,SF,27,No,188,allstar,100,,15,11,11,15,15,8,8,6,11,10,5,7,8,110,75,35,,,,,,33540,35052,1000000,tigrotti,III.15,2026-09-11
Bakhtiar Junian,55093367,PF,22,No,211,superstar,,,12,6,4,6,14,7,17,15,7,10,1,14,3,98,49,49,,,,,,33379,,1250000,Cutters,III.15,2026-09-11
Zdenko Lovec,55159037,PF,22,No,213,superstar,,,12,5,4,11,8,4,13,15,9,10,5,5,4,91,44,47,,,,,,33246,,1000000,Šaltakraujai,III.15,2026-09-11
Serkan Sinan Sunal,53382647,SF,26,No,193,MVP,,,15,7,14,14,15,11,8,10,9,7,3,10,5,110,76,34,,,,,,33172,,1000000,B.C. LA SALLE,III.15,2026-09-11
Braco Tomazin,54827509,PG,22,No,183,MVP,100,8,15,11,16,14,15,11,10,8,3,3,4,5,4,106,82,24,11.84,12.12,10.25,8.88,8.16,32132,38195,3000000,kk rudar 1978,III.15,2026-09-11
Krzysztof Prostak,54495376,C,23,No,224,MVP,,,9,6,8,13,15,4,12,14,15,7,3,2,5,103,55,48,,,,,,31742,,1200000,Noteć Inoworcław,III.15,2026-09-11
Xuan Guastini,54644913,PG,22,No,211,hall of famer,,,13,5,14,19,19,9,10,8,8,8,4,13,5,113,79,34,,,,,,31469,,1199999,CB Underdogs,III.15,2026-09-11
Dolly Rokhim,55397692,C,21,No,213,MVP,,8,9,2,6,9,6,4,9,16,11,17,8,12,3,89,36,53,,,,,,31324,,2000000,Jayapura Cendrawasih,III.15,2026-09-11
Miley Friel,54474349,SF,24,No,185,superstar,100,7,15,9,13,18,19,7,14,12,6,10,2,5,6,123,81,42,10.98,11.18,11.21,11.54,11.42,31234,32240,2000000,"""CAPO D' IRLANDA""",III.15,2026-09-11
Filip Ptasiński,54806970,SG,23,No,188,superstar,100,6,12,14,13,9,13,9,4,9,11,4,6,11,3,98,70,28,10.87,11.09,9.72,8.58,8.26,30508,37984,,PERIKOS1968,III.15,2026-09-11
David Acosta,53595513,PG,26,No,183,superstar,,8,13,5,20,16,17,7,18,11,6,4,2,9,9,117,78,39,,,,,,29831,,3000000,Gli Indomabili,III.15,2026-09-11
Manuel Mazo,53734464,PF,26,No,208,superstar,100,,12,4,4,6,9,3,13,10,12,8,8,4,6,81,38,43,,,,,,29543,30464,1000000,tigrotti,III.15,2026-09-11
Gerard Stezycki,54808152,PG,22,No,188,MVP,,,14,7,15,19,20,5,16,9,9,5,4,13,5,119,80,39,,,,,,29387,,1200000,Villaggio Bulls,III.15,2026-09-11
Iván Sierra Urquijo,53387799,SF,27,No,193,MVP,100,6,18,14,8,11,10,3,10,5,4,8,7,15,7,91,64,27,7.93,8.74,7.79,7.43,7.13,29379,29000,175000,Sarajevo 2020,III.15,2026-09-11
Zhen Shaopeng,52696845,SG,28,No,190,superstar,,,7,9,23,14,12,8,3,12,6,4,7,14,8,98,73,25,,,,,,28706,,1300000,BALKAN Botevgrad,III.15,2026-09-11
Hugo Meira,53475045,SG,26,No,185,perennial allstar,,8,13,7,20,16,17,6,19,11,4,3,3,9,9,116,79,37,,,,,,28182,,3000000,Gli Indomabili,III.15,2026-09-11
Marko Mihoc,53840966,SG,26,No,185,superstar,100,8,12,14,12,9,10,9,8,10,10,2,4,24,7,96,66,30,10.5,10.75,10.03,9.49,9.43,28109,32429,450000,BC Afganistanas,III.15,2026-09-11
Manolakis Metaxas,54697379,PG,22,No,188,MVP,,,15,10,13,15,16,10,5,8,7,4,5,3,4,103,79,24,,,,,,27527,,1000000,Athletic Alkala Basket,III.15,2026-09-11
Juliusz Kaczan,52548206,SF,29,No,208,allstar,100,9,14,14,7,10,14,5,10,8,10,7,9,17,9,99,64,35,8.59,8.95,9.04,9.32,9.44,26830,29615,450000,Armata GrigioRossa,III.15,2026-09-11
Filip Zawalich,53551624,SG,26,No,193,MVP,100,8,12,16,13,12,9,7,7,7,4,5,4,7,8,92,69,23,10.14,10.53,8.69,7.57,7.08,26500,30751,350000,Soldiers and Warriors,III.15,2026-09-11
Luo Runbo,54930561,PG,22,No,190,hall of famer,,,7,9,10,12,13,14,8,9,9,9,4,4,3,100,65,35,,,,,,25989,,1000000,TALADZI TEAM,III.15,2026-09-11
Jimmy Moulson,54786220,SG,23,No,206,MVP,,,13,12,11,11,13,6,7,6,10,8,5,8,5,97,66,31,,,,,,25868,,1000000,Athletic Alkala Basket,III.15,2026-09-11
Reko Skantz,53595693,PF,27,No,203,MVP,100,,11,7,7,16,16,9,13,9,13,5,7,12,8,106,66,40,,,,,,23112,25408,1000000,tigrotti,III.15,2026-09-11
Claudi Cartoixà,54642817,SF,23,No,198,hall of famer,,,12,11,10,15,16,7,9,10,9,12,7,4,4,111,71,40,,,,,,22892,,1500000,VIDEVOS A MIN MIÑAXOIAS,III.15,2026-09-11
Kennedy Ginsos,51404171,SG,33,No,196,superstar,,6,10,16,11,12,8,5,7,3,8,8,9,11,12,88,62,26,,,,,,22646,,250000,Vertas,III.15,2026-09-11
Algis Bronickis,54738935,SG,23,No,193,superstar,100,9,12,15,13,11,11,11,3,5,4,9,5,9,5,94,73,21,10.95,11.12,8.47,6.32,5.36,22292,28026,1000000,BC Afganistanas,III.15,2026-09-11
Vaggelis Makrinos,54698391,PG,22,No,198,hall of famer,,9,6,8,12,13,13,12,3,13,11,14,4,4,4,105,64,41,,,,,,21444,,2200000,Xeftilaikos,III.15,2026-09-11
Leopold Magin,51166586,SG,34,No,196,perennial allstar,,5,7,14,15,11,7,8,6,6,9,7,3,5,12,90,62,28,,,,,,21139,,77777,RipCity JailBlazers,III.15,2026-09-11
Didzis Kemrausis,54791606,C,22,No,193,hall of famer,100,8,6,7,10,6,7,5,1,15,12,20,1,6,4,89,41,48,7.79,8.03,8.49,8.62,8.88,20896,18411,2930000,Forlì 2.0,III.15,2026-09-11
Pierluigi Batini,53068228,SG,28,No,183,perennial allstar,100,9,14,16,7,9,13,9,10,2,5,6,9,20,6,91,68,23,9.05,9.33,8,7.07,6.55,20376,20055,350000,Armata GrigioRossa,III.15,2026-09-11
Maurizio Albericci,52406900,SG,30,No,185,allstar,,9,16,14,9,8,11,10,7,2,2,2,3,16,10,81,68,13,,,,,,19550,,285000,Angel_of_Sky,III.15,2026-09-11
Víctor Surgeres,54950767,PF,22,No,201,hall of famer,,,12,6,10,12,16,4,17,9,6,8,2,9,5,100,60,40,,,,,,19338,,1500000,yeahh,III.15,2026-09-11
Kazimierz Papierz,55116214,PF,22,No,206,hall of famer,,,15,7,6,11,15,9,14,5,10,6,1,10,3,98,63,35,,,,,,17294,,2500000,Dynamo Split,III.15,2026-09-11
Mariano Ugolini,55276420,PF,21,No,203,hall of famer,,,9,8,11,11,8,10,13,12,10,5,6,14,4,97,57,40,,,,,,16958,,1620000,Geeno FC,III.15,2026-09-11
Shmavon Baghdasaryan,50545050,SF,35,No,183,hall of famer,,,18,10,9,9,11,8,3,2,3,3,1,8,11,76,65,11,,,,,,16867,,1500000,Jimbitos,III.15,2026-09-11
Reginald Glass,54726784,SF,23,No,203,hall of famer,,,13,10,7,17,18,3,14,5,8,10,2,3,4,105,68,37,,,,,,16513,,1000000,Junior Pallacanestro Molfetta,III.15,2026-09-11
Ingemar Huwig,55271896,PG,21,No,198,hall of famer,100,,12,9,6,17,15,9,12,6,10,10,4,9,2,106,68,38,,,,,,16032,19447,1111111,LE SSERAFIM,III.15,2026-09-11
Luigi Fraleoni,53734995,SG,26,No,188,allstar,100,7,12,15,9,11,8,4,5,9,5,3,9,17,4,81,59,22,8.15,8.53,7.56,7.17,7.06,15860,17991,185200,Armata GrigioRossa,III.15,2026-09-11
Danukas Ovdijus,55047666,PG,22,No,185,MVP,,,12,13,10,9,12,12,6,5,4,9,6,2,2,92,68,24,,,,,,15585,,1000000,BC Afganistanas,III.15,2026-09-11
Diogo Silva,54112205,PF,25,No,206,perennial allstar,,,9,8,7,5,3,10,4,14,7,18,7,18,5,85,42,43,,,,,,15560,,1300000,MX.冰雪龙卷风️,III.15,2026-09-11
Jacques Crews,55205641,C,20,No,208,perennial allstar,,,5,4,3,6,6,6,8,13,10,15,3,3,2,76,30,46,,,,,,15349,,1000000,CB Capital,III.15,2026-09-11
Rasheed El-Ameen,55338217,PG,21,No,190,hall of famer,100,,11,3,11,14,15,9,10,6,10,10,2,12,2,99,63,36,,,,,,15276,17304,1111111,LE SSERAFIM,III.15,2026-09-11
Franciszek Szewczyk,55421208,PG,21,No,193,all-time great,,,14,10,12,13,13,8,9,7,5,5,4,7,2,96,70,26,,,,,,14682,,1200000,Resistência AYA,III.15,2026-09-11
Manolakis Nanos,55005621,SF,21,No,201,MVP,,,13,9,7,16,18,7,12,9,8,4,3,1,3,103,70,33,,,,,,14294,,1200000,Pouthenades Bc,III.15,2026-09-11
Pekka Niinioja,55444926,SF,21,No,196,MVP,,,12,8,11,13,11,9,7,12,5,13,8,13,2,101,64,37,,,,,,14059,,1600000,Dingo BC,III.15,2026-09-11
Charles Mateja,55025481,PG,22,No,190,hall of famer,,,13,9,9,18,18,6,14,8,4,4,8,14,3,103,73,30,,,,,,13497,,1000000,堆落地胡子,III.15,2026-09-11
Piotr Franczuk,55116071,PF,21,No,196,hall of famer,,,11,7,8,16,18,5,11,10,7,8,2,4,4,101,65,36,,,,,,11470,,1300000,Pouthenades Bc,III.15,2026-09-11
Juan Román Escheimber,55824288,PF,19,Yes,196,hall of famer,,,10,5,6,8,10,4,9,9,10,10,6,6,1,81,43,38,,,,,,11350,,1900000,Yodas,III.15,2026-09-11
Zhang Ke Lin,55710963,PG,20,No,201,MVP,,,11,7,9,10,13,10,9,8,9,10,6,9,2,96,60,36,,,,,,11338,,1302000,sheert devils II,III.15,2026-09-11
Tura Zevafir,54946509,SF,21,No,188,MVP,,,13,7,12,14,15,5,10,8,4,6,9,4,3,94,66,28,,,,,,11322,,1000000,Dynamo Tego,III.15,2026-09-11
Haris Latvys,55351253,SF,21,No,193,hall of famer,,,11,6,6,11,13,8,9,8,10,6,6,12,1,88,55,33,,,,,,9845,,1250000,Adalet Tanrısı,III.15,2026-09-11
Gianfranco Allegrini,55277318,SG,21,No,206,hall of famer,,,10,8,12,6,8,9,11,8,4,8,4,5,3,84,53,31,,,,,,9609,,1000000,Golden Lions II,III.15,2026-09-11
Moraci Guerra,56003119,SG,25,No,180,starter,100,5,11,14,7,8,3,4,5,3,4,1,6,9,11,60,47,13,6.81,7.21,5.83,4.98,4.67,9221,10316,92210,Free Agent,III.15,2026-09-11
Shayne Delgado,55206106,PG,20,No,190,hall of famer,,,12,3,8,15,16,8,11,6,7,7,2,10,3,93,62,31,,,,,,8610,,1000000,Mera25,III.15,2026-09-11
Miloš Škandik,55388441,PG,20,No,183,hall of famer,,,10,6,11,9,10,10,7,8,7,2,8,5,2,80,56,24,,,,,,8038,,1555555,Club Basket Bon Pastor,III.15,2026-09-11
Eusebio Zampedri,55810120,PG,19,Yes,201,hall of famer,,,7,7,7,11,11,10,8,1,10,3,4,6,1,75,53,22,,,,,,7846,,1100000,The Lorewalkers,III.15,2026-09-11
Çetin Suntay,55251337,SF,20,No,190,hall of famer,,,10,7,8,9,11,7,10,6,8,6,5,7,2,82,52,30,,,,,,7073,,1995000,Adalet Tanrısı,III.15,2026-09-11
Giordano Tiralongo,55571849,SF,19,No,196,hall of famer,,,10,8,7,13,14,3,8,6,4,5,5,7,2,78,55,23,,,,,,4621,,1000000,Fuzzy Logic,III.15,2026-09-11
Barnabás Steinmetz,55945623,PG,18,Yes,193,hall of famer,100,7,8,5,7,9,9,7,7,2,7,4,1,3,1,65,45,20,7.08,6.93,6.45,5.88,5.54,3767,4995,1600000,Albiolo Millers,III.15,2026-09-11
Kastytis Šedleckis,55898784,SG,18,Yes,183,hall of famer,,8,8,7,7,5,8,7,7,1,7,4,4,4,1,61,42,19,,,,,,3596,,2000000,Žalgiris official,III.15,2026-09-11
Jacob Cary,55815559,SF,18,Yes,203,hall of famer,100,8,7,7,7,3,3,7,5,6,6,7,2,5,1,58,34,24,6.23,6.46,6.13,5.65,5.57,3402,4017,2000000,KBVP,III.15,2026-09-11
Gustavo Alejandro Yanzón,55821504,C,18,Yes,213,hall of famer,100,,2,1,7,3,2,3,8,9,7,5,4,5,1,47,18,29,,,,,,3100,5280,1000000,Deportivo Wilson,III.15,2026-09-11
Giovanni Di Martino,55989661,C,18,Yes,208,hall of famer,,,5,2,3,5,8,7,8,8,8,4,1,6,1,58,30,28,,,,,,3099,,1500000,LosCorredores,III.15,2026-09-11
Michaël Borrel,55856868,SG,18,Yes,203,hall of famer,,,8,7,7,9,4,5,7,4,6,7,4,6,1,64,40,24,,,,,,3031,,1500000,Fascaga,III.15,2026-09-11
Cao Yinghui,55834236,PG,18,Yes,206,hall of famer,,6,6,3,7,8,6,7,6,7,4,7,7,6,2,61,37,24,,,,,,2935,,2555555,鹤山书院,III.15,2026-09-11
Lech Dąbrowski,55956574,SG,18,Yes,188,MVP,,,8,7,6,3,7,5,7,3,2,1,7,8,1,49,36,13,,,,,,2531,,1000000,Skorpion Gliwice,III.15,2026-09-11
